Template_Index,Template_Date,Template_HomeTeam,Template_AwayTeam,Template_HomeGoals,Template_AwayGoals,Template_Result,Found_Date,Found_HomeTeam,Found_AwayTeam,Found_HomeGoals,Found_AwayGoals,Home_xG,Away_xG,Home_xpts,Away_xpts,Match_Confidence,Away_Team_Switched,Expected_Away_Team,Found_Away_Team,Score_Match,Notes
196,01.01.2015,QPR,Swansea,1,1,D,2015-01-01,Queens Park Rangers,Swansea,1,1,3.16214,1.69725,2.3069,0.5318,1.0,False,Swansea,Swansea,True,
197,01.01.2015,Southampton,Arsenal,2,0,H,2015-01-01,Southampton,Arsenal,2,0,2.41442,0.849285,2.4638,0.3731,1.0,False,Arsenal,Arsenal,True,
653,01.03.2016,Sunderland,Crystal Palace,2,2,D,2016-03-01,Sunderland,Crystal Palace,2,2,0.93375,0.887448,1.3827,1.2891,1.0,False,Crystal Palace,Crystal Palace,True,
826,01.10.2016,West Ham,Middlesbrough,1,1,D,2016-10-01,West Ham,Middlesbrough,1,1,0.883385,0.852603,1.3475,1.3076,1.0,False,Middlesbrough,Middlesbrough,True,
1652,01.12.2018,Crystal Palace,Burnley,2,0,H,2018-12-01,Crystal Palace,Burnley,2,0,2.03785,0.302477,2.5617,0.2739,1.0,False,Burnley,Burnley,True,
273,04.03.2015,Man City,Leicester,2,0,H,2015-03-04,Manchester City,Leicester,2,0,2.91599,0.217043,2.9161,0.0496,1.0,False,Leicester,Leicester,True,
613,02.02.2016,Leicester,Liverpool,2,0,H,2016-02-02,Leicester,Liverpool,2,0,1.34566,0.580791,2.071,0.658,1.0,False,Liverpool,Liverpool,True,
1838,03.04.2019,Man City,Cardiff,2,0,H,2019-04-03,Manchester City,Cardiff,2,0,3.53913,0.135788,2.9629,0.0205,1.0,False,Cardiff,Cardiff,True,
689,02.04.2016,Stoke,Swansea,2,2,D,2016-04-02,Stoke,Swansea,2,2,1.17598,0.4319,2.0941,0.6169,1.0,False,Swansea,Swansea,True,
1245,04.11.2017,Swansea,Brighton,0,1,A,2017-11-04,Swansea,Brighton,0,1,1.24557,0.874927,1.6679,0.974,1.0,False,Brighton,Brighton,True,
1664,04.12.2018,West Ham,Cardiff,3,1,H,2018-12-04,West Ham,Cardiff,3,1,1.57488,1.93448,1.011,1.7280000000000002,1.0,False,Cardiff,Cardiff,True,
1243,04.11.2017,Southampton,Burnley,0,1,A,2017-11-04,Southampton,Burnley,0,1,0.789259,0.137743,1.9682,0.6065,1.0,False,Burnley,Burnley,True,
63,04.10.2014,Leicester,Burnley,2,2,D,2014-10-04,Leicester,Burnley,2,2,1.57773,0.957718,1.8726,0.8319,1.0,False,Burnley,Burnley,True,
1055,04.04.2017,Leicester,Sunderland,2,0,H,2017-04-04,Leicester,Sunderland,2,0,0.929134,0.7012,1.5353,1.1174,1.0,False,Sunderland,Sunderland,True,
305,04.04.2015,Swansea,Hull,3,1,H,2015-04-04,Swansea,Hull,3,1,1.49943,0.919329,1.8327,0.8685,1.0,False,Hull,Hull,True,
1388,31.01.2018,Southampton,Brighton,1,1,D,2018-01-31,Southampton,Brighton,1,1,1.27393,1.07907,1.4495,1.2185,1.0,False,Brighton,Brighton,True,
227,31.01.2015,Sunderland,Burnley,2,0,H,2015-01-31,Sunderland,Burnley,2,0,1.89994,1.34786,1.8754,0.859,1.0,False,Burnley,Burnley,True,
1346,30.12.2017,Newcastle,Brighton,0,0,D,2017-12-30,Newcastle United,Brighton,0,0,0.504379,0.630058,1.1258,1.4476999999999998,1.0,False,Brighton,Brighton,True,
1827,30.03.2019,Crystal Palace,Huddersfield,2,0,H,2019-03-30,Crystal Palace,Huddersfield,2,0,2.84701,0.926991,2.5976,0.2885,1.0,False,Huddersfield,Huddersfield,True,
1712,29.12.2018,Fulham,Huddersfield,1,0,H,2018-12-29,Fulham,Huddersfield,1,0,1.72386,0.276791,2.5821,0.2655,1.0,False,Huddersfield,Huddersfield,True,
932,26.12.2016,Burnley,Middlesbrough,1,0,H,2016-12-26,Burnley,Middlesbrough,1,0,0.275704,0.698814,0.8097000000000001,1.7597999999999998,1.0,False,Middlesbrough,Middlesbrough,True,
2044,04.12.2019,Leicester,Watford,2,0,H,2019-12-04,Leicester,Watford,2,0,2.28735,0.199733,2.8303000000000003,0.0991,1.0,False,Watford,Watford,True,
2046,04.12.2019,Southampton,Norwich,2,1,H,2019-12-04,Southampton,Norwich,2,1,2.00232,0.896647,2.2681,0.523,1.0,False,Norwich,Norwich,True,
1106,06.05.2017,Bournemouth,Stoke,2,2,D,2017-05-06,Bournemouth,Stoke,2,2,1.30668,2.3019,0.6498,2.1336,1.0,False,Stoke,Stoke,True,
659,05.03.2016,Chelsea,Stoke,1,1,D,2016-03-05,Chelsea,Stoke,1,1,1.0615,1.60285,0.9481,1.7941,1.0,False,Stoke,Stoke,True,
1496,05.05.2018,Bournemouth,Swansea,1,0,H,2018-05-05,Bournemouth,Swansea,1,0,1.69618,1.0138,1.9364,0.806,1.0,False,Swansea,Swansea,True,
864,05.11.2016,Man City,Middlesbrough,1,1,D,2016-11-05,Manchester City,Middlesbrough,1,1,2.49606,0.208762,2.817,0.1086,1.0,False,Middlesbrough,Middlesbrough,True,
628,06.02.2016,Tottenham,Watford,1,0,H,2016-02-06,Tottenham,Watford,1,0,2.00475,0.149839,2.6976,0.1760999999999999,1.0,False,Watford,Watford,True,
233,07.02.2015,Leicester,Crystal Palace,0,1,A,2015-02-07,Leicester,Crystal Palace,0,1,0.7797,1.00613,1.1383,1.5340000000000005,1.0,False,Crystal Palace,Crystal Palace,True,
147,06.12.2014,Tottenham,Crystal Palace,0,0,D,2014-12-06,Tottenham,Crystal Palace,0,0,0.958788,1.17369,1.1708999999999998,1.5098999999999998,1.0,False,Crystal Palace,Crystal Palace,True,
142,06.12.2014,Liverpool,Sunderland,0,0,D,2014-12-06,Liverpool,Sunderland,0,0,0.663875,0.268395,1.7084,0.8378,1.0,False,Sunderland,Sunderland,True,
1777,09.02.2019,Southampton,Cardiff,1,2,A,2019-02-09,Southampton,Cardiff,1,2,1.70666,0.980673,2.0587,0.6412,1.0,False,Cardiff,Cardiff,True,
101,08.11.2014,Burnley,Hull,1,0,H,2014-11-08,Burnley,Hull,1,0,1.10315,0.526656,1.8499,0.8296,1.0,False,Hull,Hull,True,
1671,08.12.2018,Arsenal,Huddersfield,1,0,H,2018-12-08,Arsenal,Huddersfield,1,0,2.02156,0.308361,2.6395,0.2287,1.0,False,Huddersfield,Huddersfield,True,
234,07.02.2015,Man City,Hull,1,1,D,2015-02-07,Manchester City,Hull,1,1,0.992526,1.13348,1.1758,1.5181000000000002,1.0,False,Hull,Hull,True,
2180,07.03.2020,Arsenal,West Ham,1,0,H,2020-03-07,Arsenal,West Ham,1,0,1.55974,1.61615,1.3209,1.3869,1.0,False,West Ham,West Ham,True,
2181,07.03.2020,Crystal Palace,Watford,1,0,H,2020-03-07,Crystal Palace,Watford,1,0,0.856107,0.449161,1.7397,0.8918999999999999,1.0,False,Watford,Watford,True,
1456,07.04.2018,Brighton,Huddersfield,1,1,D,2018-04-07,Brighton,Huddersfield,1,1,1.53244,1.48964,1.3757,1.3322,1.0,False,Huddersfield,Huddersfield,True,
1461,07.04.2018,Watford,Burnley,1,2,A,2018-04-07,Watford,Burnley,1,2,1.36685,1.38319,1.3159,1.3903,1.0,False,Burnley,Burnley,True,
1291,09.12.2017,Burnley,Watford,1,0,H,2017-12-09,Burnley,Watford,1,0,0.485632,0.819233,0.9488,1.6745,1.0,False,Watford,Watford,True,
698,09.04.2016,Swansea,Chelsea,1,0,H,2016-04-09,Swansea,Chelsea,1,0,1.9071,1.3003,1.8406,0.8935,1.0,False,Chelsea,Chelsea,True,
1673,08.12.2018,Burnley,Brighton,1,0,H,2018-12-08,Burnley,Brighton,1,0,1.81251,0.951507,2.0648,0.6956,1.0,False,Brighton,Brighton,True,
1145,12.08.2017,Everton,Stoke,1,0,H,2017-08-12,Everton,Stoke,1,0,0.720574,0.27644,1.7647,0.808,1.0,False,Stoke,Stoke,True,
1735,12.01.2019,Crystal Palace,Watford,1,2,A,2019-01-12,Crystal Palace,Watford,1,2,1.1617,1.56262,1.0533,1.6824,1.0,False,Watford,Watford,True,
910,11.12.2016,Southampton,Middlesbrough,1,0,H,2016-12-11,Southampton,Middlesbrough,1,0,1.72919,0.493941,2.4456999999999995,0.3469,1.0,False,Middlesbrough,Middlesbrough,True,
1522,11.08.2018,Bournemouth,Cardiff,2,0,H,2018-08-11,Bournemouth,Cardiff,2,0,2.60022,1.50693,2.2423,0.5473,1.0,False,Cardiff,Cardiff,True,
1636,10.11.2018,Southampton,Watford,1,1,D,2018-11-10,Southampton,Watford,1,1,1.20211,1.07573,1.4607,1.2396,1.0,False,Watford,Watford,True,
1184,16.09.2017,Liverpool,Burnley,1,1,D,2017-09-16,Liverpool,Burnley,1,1,2.18727,0.334402,2.7088,0.1813,1.0,False,Burnley,Burnley,True,
4,16.08.2014,QPR,Hull,0,1,A,2014-08-16,Queens Park Rangers,Hull,0,1,1.90067,1.11757,2.0149,0.7402,1.0,False,Hull,Hull,True,
360,16.05.2015,Burnley,Stoke,0,0,D,2015-05-16,Burnley,Stoke,0,0,0.909845,1.76276,0.6360999999999999,2.1325,1.0,False,Stoke,Stoke,True,
592,16.01.2016,Bournemouth,Norwich,3,0,H,2016-01-16,Bournemouth,Norwich,3,0,2.53086,0.595472,2.6899,0.2047,1.0,False,Norwich,Norwich,True,
7,16.08.2014,West Ham,Tottenham,0,1,A,2014-08-16,West Ham,Tottenham,0,1,1.8531,1.01706,2.0216000000000003,0.7136,1.0,False,Tottenham,Tottenham,True,
761,13.08.2016,Burnley,Swansea,0,1,A,2016-08-13,Burnley,Swansea,0,1,1.04903,1.72089,0.7766,1.9346,1.0,False,Swansea,Swansea,True,
1518,13.05.2018,Swansea,Stoke,1,2,A,2018-05-13,Swansea,Stoke,1,2,1.70936,1.75436,1.2654999999999998,1.4818,1.0,False,Stoke,Stoke,True,
1848,13.04.2019,Burnley,Cardiff,2,0,H,2019-04-13,Burnley,Cardiff,2,0,2.84358,0.872224,2.6792,0.2132,1.0,False,Cardiff,Cardiff,True,
152,13.12.2014,Burnley,Southampton,1,0,H,2014-12-13,Burnley,Southampton,1,0,0.396158,1.713,0.3273,2.4957000000000003,1.0,False,Southampton,Southampton,True,
767,13.08.2016,Southampton,Watford,1,1,D,2016-08-13,Southampton,Watford,1,1,0.937328,0.180046,2.0192,0.5891,1.0,False,Watford,Watford,True,
154,13.12.2014,Crystal Palace,Stoke,1,1,D,2014-12-13,Crystal Palace,Stoke,1,1,0.498092,0.898532,0.8217,1.8192,1.0,False,Stoke,Stoke,True,
766,13.08.2016,Middlesbrough,Stoke,1,1,D,2016-08-13,Middlesbrough,Stoke,1,1,1.80523,0.485626,2.5279,0.3097,1.0,False,Stoke,Stoke,True,
1685,15.12.2018,Tottenham,Burnley,1,0,H,2018-12-15,Tottenham,Burnley,1,0,1.74625,0.451196,2.4027,0.3987,1.0,False,Burnley,Burnley,True,
1078,15.04.2017,Sunderland,West Ham,2,2,D,2017-04-15,Sunderland,West Ham,2,2,1.14121,1.42815,1.0788,1.6307999999999998,1.0,False,West Ham,West Ham,True,
1075,15.04.2017,Everton,Burnley,3,1,H,2017-04-15,Everton,Burnley,3,1,1.67352,1.1469,1.7351,0.9797,1.0,False,Burnley,Burnley,True,
1310,13.12.2017,West Ham,Arsenal,0,0,D,2017-12-13,West Ham,Arsenal,0,0,0.405172,1.02186,0.7889999999999999,1.8651,1.0,False,Arsenal,Arsenal,True,
1228,21.10.2017,Swansea,Leicester,1,2,A,2017-10-21,Swansea,Leicester,1,2,0.559618,1.80814,0.3813,2.4387000000000003,1.0,False,Leicester,Leicester,True,
2074,21.12.2019,Brighton,Sheffield United,0,1,A,2019-12-21,Brighton,Sheffield United,0,1,0.428371,1.65933,0.3871,2.4205,1.0,False,Sheffield United,Sheffield United,True,
1085,22.04.2017,Hull,Watford,2,0,H,2017-04-22,Hull,Watford,2,0,1.42309,1.15869,1.5979,1.0905999999999998,1.0,False,Watford,Watford,True,
251,21.02.2015,Aston Villa,Stoke,1,2,A,2015-02-21,Aston Villa,Stoke,1,2,0.234004,1.11955,0.3713,2.3798,1.0,False,Stoke,Stoke,True,
1606,20.10.2018,Newcastle,Brighton,0,1,A,2018-10-20,Newcastle United,Brighton,0,1,1.71169,0.675798,2.1504,0.6159,1.0,False,Brighton,Brighton,True,
777,20.08.2016,Watford,Chelsea,1,2,A,2016-08-20,Watford,Chelsea,1,2,0.804549,1.75595,0.5701,2.1832,1.0,False,Chelsea,Chelsea,True,
1377,20.01.2018,Stoke,Huddersfield,2,0,H,2018-01-20,Stoke,Huddersfield,2,0,0.987799,0.238458,2.046,0.5997,1.0,False,Huddersfield,Huddersfield,True,
292,21.03.2015,Newcastle,Arsenal,1,2,A,2015-03-21,Newcastle United,Arsenal,1,2,1.0068,0.754782,1.5558,1.1106,1.0,False,Arsenal,Arsenal,True,
546,19.12.2015,Stoke,Crystal Palace,1,2,A,2015-12-19,Stoke,Crystal Palace,1,2,2.41499,1.95347,1.6751,1.0781,1.0,False,Crystal Palace,Crystal Palace,True,
1986,19.10.2019,Tottenham,Watford,1,1,D,2019-10-19,Tottenham,Watford,1,1,0.891617,0.846851,1.3987999999999998,1.2518,1.0,False,Watford,Watford,True,
1982,19.10.2019,Aston Villa,Brighton,2,1,H,2019-10-19,Aston Villa,Brighton,2,1,2.96692,1.32184,2.4098,0.4421,1.0,False,Brighton,Brighton,True,
929,18.12.2016,Tottenham,Burnley,2,1,H,2016-12-18,Tottenham,Burnley,2,1,1.50755,1.17031,1.5601,1.1479,1.0,False,Burnley,Burnley,True,
2126,18.01.2020,West Ham,Everton,1,1,D,2020-01-18,West Ham,Everton,1,1,1.68436,1.95473,1.1683,1.5778,1.0,False,Everton,Everton,True,
2121,18.01.2020,Arsenal,Sheffield United,1,1,D,2020-01-18,Arsenal,Sheffield United,1,1,1.22882,1.18444,1.3849,1.2883,1.0,False,Sheffield United,Sheffield United,True,
926,17.12.2016,West Ham,Hull,1,0,H,2016-12-17,West Ham,Hull,1,0,1.92151,1.13479,1.9965,0.7638,1.0,False,Hull,Hull,True,
1916,17.08.2019,Southampton,Liverpool,1,2,A,2019-08-17,Southampton,Liverpool,1,2,2.14047,1.52022,1.8259,0.9463,1.0,False,Liverpool,Liverpool,True,
1344,30.12.2017,Liverpool,Leicester,2,1,H,2017-12-30,Liverpool,Leicester,2,1,2.56607,0.789667,2.5399,0.3166,1.0,False,Leicester,Leicester,True,
126,29.11.2014,Swansea,Crystal Palace,1,1,D,2014-11-29,Swansea,Crystal Palace,1,1,1.4626,1.50956,1.2658,1.444,1.0,False,Crystal Palace,Crystal Palace,True,
1412,24.02.2018,Brighton,Swansea,4,1,H,2018-02-24,Brighton,Swansea,4,1,3.2913,0.443169,2.9302,0.043,1.0,False,Swansea,Swansea,True,
404,22.08.2015,Norwich,Stoke,1,1,D,2015-08-22,Norwich,Stoke,1,1,3.14888,0.698228,2.7779,0.1481,1.0,False,Stoke,Stoke,True,
405,22.08.2015,Sunderland,Swansea,1,1,D,2015-08-22,Sunderland,Swansea,1,1,0.569426,1.56064,0.6088,2.1481,1.0,False,Swansea,Swansea,True,
841,22.10.2016,Arsenal,Middlesbrough,0,0,D,2016-10-22,Arsenal,Middlesbrough,0,0,0.711811,1.55581,0.6436999999999999,2.1083,1.0,False,Middlesbrough,Middlesbrough,True,
786,27.08.2016,Southampton,Sunderland,1,1,D,2016-08-27,Southampton,Sunderland,1,1,0.613743,1.39142,0.6205,2.1223,1.0,False,Sunderland,Sunderland,True,
2086,26.12.2019,Sheffield United,Watford,1,1,D,2019-12-26,Sheffield United,Watford,1,1,2.04481,0.596611,2.5145,0.3238999999999999,1.0,False,Watford,Watford,True,
185,28.12.2014,QPR,Crystal Palace,0,0,D,2014-12-28,Queens Park Rangers,Crystal Palace,0,0,0.405679,0.328577,1.3231,1.1287,1.0,False,Crystal Palace,Crystal Palace,True,
1964,28.09.2019,Chelsea,Brighton,2,0,H,2019-09-28,Chelsea,Brighton,2,0,4.26443,0.616263,2.9361,0.0414,1.0,False,Brighton,Brighton,True,
264,28.02.2015,Stoke,Hull,1,0,H,2015-02-28,Stoke,Hull,1,0,0.895577,0.344489,1.8288,0.7827,1.0,False,Hull,Hull,True,
1962,28.09.2019,Aston Villa,Burnley,2,2,D,2019-09-28,Aston Villa,Burnley,2,2,0.914266,1.66919,0.7663,1.9909,1.0,False,Burnley,Burnley,True,
1585,29.09.2018,Man City,Brighton,2,0,H,2018-09-29,Manchester City,Brighton,2,0,2.90697,0.23023,2.8899000000000004,0.0648,1.0,False,Brighton,Brighton,True,
1584,29.09.2018,Huddersfield,Tottenham,0,2,A,2018-09-29,Huddersfield,Tottenham,0,2,0.339245,2.33733,0.1381,2.7757,1.0,False,Tottenham,Tottenham,True,
1581,29.09.2018,Arsenal,Watford,2,0,H,2018-09-29,Arsenal,Watford,2,0,1.57061,2.62141,0.6981999999999999,2.1028,1.0,False,Watford,Watford,True,
1096,29.04.2017,Southampton,Hull,0,0,D,2017-04-29,Southampton,Hull,0,0,1.24844,0.472435,2.1799,0.5485,1.0,False,Hull,Hull,True,
379,24.05.2015,Newcastle,West Ham,2,0,H,2015-05-24,Newcastle United,West Ham,2,0,1.64216,0.416396,2.3586000000000005,0.4233,1.0,False,West Ham,West Ham,True,
1327,23.12.2017,Southampton,Huddersfield,1,1,D,2017-12-23,Southampton,Huddersfield,1,1,1.73805,1.09381,1.8755,0.8696,1.0,False,Huddersfield,Huddersfield,True,
372,24.05.2015,Aston Villa,Burnley,0,1,A,2015-05-24,Aston Villa,Burnley,0,1,0.654751,0.66113,1.2611,1.3295,1.0,False,Burnley,Burnley,True,
2085,26.12.2019,Everton,Burnley,1,0,H,2019-12-26,Everton,Burnley,1,0,1.47521,0.565252,2.1380000000000003,0.5893999999999999,1.0,False,Burnley,Burnley,True,
178,26.12.2014,Sunderland,Hull,1,3,A,2014-12-26,Sunderland,Hull,1,3,1.35551,0.85573,1.8049,0.9067,1.0,False,Hull,Hull,True,
172,26.12.2014,Burnley,Liverpool,0,1,A,2014-12-26,Burnley,Liverpool,0,1,0.61207,1.06708,0.8775999999999999,1.8058,1.0,False,Liverpool,Liverpool,True,
115,22.11.2014,Man City,Swansea,2,1,H,2014-11-22,Manchester City,Swansea,2,1,2.26312,0.957011,2.2619,0.5429,1.0,False,Swansea,Swansea,True,
2026,23.11.2019,Everton,Norwich,0,2,A,2019-11-23,Everton,Norwich,0,2,0.812693,1.80849,0.638,2.1512,1.0,False,Norwich,Norwich,True,
2274,26.07.2020,Crystal Palace,Tottenham,1,1,D,2020-07-26,Crystal Palace,Tottenham,1,1,0.988534,0.310302,2.0478,0.6189,1.0,False,Tottenham,Tottenham,True,
1093,26.04.2017,Middlesbrough,Sunderland,1,0,H,2017-04-26,Middlesbrough,Sunderland,1,0,0.825839,0.445766,1.7328,0.885,1.0,False,Sunderland,Sunderland,True,
1166,26.08.2017,Watford,Brighton,0,0,D,2017-08-26,Watford,Brighton,0,0,0.281459,0.952357,0.6756,1.9557,1.0,False,Brighton,Brighton,True,
2278,26.07.2020,Newcastle,Liverpool,1,3,A,2020-07-26,Newcastle United,Liverpool,1,3,0.339294,0.56818,1.0681,1.4593000000000005,1.0,False,Liverpool,Liverpool,True,
215,17.01.2015,QPR,Man United,0,2,A,2015-01-17,Queens Park Rangers,Manchester United,0,2,0.929623,1.55645,0.8639,1.88,0.896,True,Man United,Manchester United,True,
274,04.03.2015,Newcastle,Man United,0,1,A,2015-03-04,Newcastle United,Manchester United,0,1,1.19246,1.68865,0.9255,1.7829,0.896,True,Man United,Manchester United,True,
482,31.10.2015,Crystal Palace,Man United,0,0,D,2015-10-31,Crystal Palace,Manchester United,0,0,0.939118,0.394404,1.8727,0.7788999999999999,0.896,True,Man United,Manchester United,True,
577,02.01.2016,West Brom,Stoke,2,1,H,2016-01-02,West Bromwich Albion,Stoke,2,1,1.72318,0.917526,2.0388,0.6978,0.892,False,Stoke,Stoke,True,
528,05.12.2015,West Brom,Tottenham,1,1,D,2015-12-05,West Bromwich Albion,Tottenham,1,1,1.48695,1.12876,1.6685,1.0145,0.892,False,Tottenham,Tottenham,True,
208,10.01.2015,West Brom,Hull,1,0,H,2015-01-10,West Bromwich Albion,Hull,1,0,0.784159,0.395844,1.7271,0.8780999999999999,0.892,False,Hull,Hull,True,
837,15.10.2016,West Brom,Tottenham,1,1,D,2016-10-15,West Bromwich Albion,Tottenham,1,1,1.30365,1.32318,1.3973,1.3067,0.892,False,Tottenham,Tottenham,True,
6,16.08.2014,West Brom,Sunderland,2,2,D,2014-08-16,West Bromwich Albion,Sunderland,2,2,1.68343,0.991901,2.0358,0.6965999999999999,0.892,False,Sunderland,Sunderland,True,
335,25.04.2015,West Brom,Liverpool,0,0,D,2015-04-25,West Bromwich Albion,Liverpool,0,0,0.507754,1.41235,0.5573,2.1854,0.892,False,Liverpool,Liverpool,True,
265,28.02.2015,West Brom,Southampton,1,0,H,2015-02-28,West Bromwich Albion,Southampton,1,0,1.08916,0.579867,1.8493,0.8293,0.892,False,Southampton,Southampton,True,
679,19.03.2016,West Brom,Norwich,0,1,A,2016-03-19,West Bromwich Albion,Norwich,0,1,0.332789,0.799255,0.7802,1.8284,0.892,False,Norwich,Norwich,True,
1099,29.04.2017,West Brom,Leicester,0,1,A,2017-04-29,West Bromwich Albion,Leicester,0,1,0.809101,0.570664,1.5058,1.1113,0.892,False,Leicester,Leicester,True,
759,15.05.2016,West Brom,Liverpool,1,1,D,2016-05-15,West Bromwich Albion,Liverpool,1,1,1.86869,0.419877,2.5798,0.2704,0.892,False,Liverpool,Liverpool,True,
1458,07.04.2018,Leicester,Newcastle,1,2,A,2018-04-07,Leicester,Newcastle United,1,2,1.09224,0.285116,2.3392,0.4132,0.888,True,Newcastle,Newcastle United,True,
128,29.11.2014,West Ham,Newcastle,1,0,H,2014-11-29,West Ham,Newcastle United,1,0,1.09981,0.246562,2.1861,0.513,0.888,True,Newcastle,Newcastle United,True,
657,02.03.2016,Stoke,Newcastle,1,0,H,2016-03-02,Stoke,Newcastle United,1,0,0.298318,0.270782,1.2146,1.1714,0.888,True,Newcastle,Newcastle United,True,
571,02.01.2016,Arsenal,Newcastle,1,0,H,2016-01-02,Arsenal,Newcastle United,1,0,1.93025,1.15339,1.9698,0.8025,0.888,True,Newcastle,Newcastle United,True,
287,15.03.2015,Everton,Newcastle,3,0,H,2015-03-15,Everton,Newcastle United,3,0,2.25807,0.809194,2.4509,0.3902,0.888,True,Newcastle,Newcastle United,True,
1666,05.12.2018,Everton,Newcastle,1,1,D,2018-12-05,Everton,Newcastle United,1,1,2.10943,1.52214,1.8095,0.9296,0.888,True,Newcastle,Newcastle United,True,
1311,16.12.2017,Arsenal,Newcastle,1,0,H,2017-12-16,Arsenal,Newcastle United,1,0,2.02472,0.286547,2.5936,0.2593,0.888,True,Newcastle,Newcastle United,True,
1517,13.05.2018,Southampton,Man City,0,1,A,2018-05-13,Southampton,Manchester City,0,1,0.506624,0.765614,1.0368,1.5672,0.878,True,Man City,Manchester City,True,
757,15.05.2016,Swansea,Man City,1,1,D,2016-05-15,Swansea,Manchester City,1,1,0.115604,2.04003,0.088,2.8417,0.878,True,Man City,Manchester City,True,
1800,02.03.2019,Bournemouth,Man City,0,1,A,2019-03-02,Bournemouth,Manchester City,0,1,0.0,1.59515,0.1722,2.6556,0.878,True,Man City,Manchester City,True,
204,10.01.2015,Everton,Man City,1,1,D,2015-01-10,Everton,Manchester City,1,1,0.95041,1.50724,0.8880999999999999,1.8259,0.878,True,Man City,Manchester City,True,
1891,12.05.2019,Brighton,Man City,1,4,A,2019-05-12,Brighton,Manchester City,1,4,0.595313,2.22234,0.3339,2.5035,0.878,True,Man City,Manchester City,True,
95,01.11.2014,Leicester,West Brom,0,1,A,2014-11-01,Leicester,West Bromwich Albion,0,1,1.41001,0.562442,2.1103,0.628,0.848,True,West Brom,West Bromwich Albion,True,
1374,20.01.2018,Everton,West Brom,1,1,D,2018-01-20,Everton,West Bromwich Albion,1,1,0.92355,1.34998,0.9986,1.6943,0.848,True,West Brom,West Bromwich Albion,True,
634,13.02.2016,Everton,West Brom,0,1,A,2016-02-13,Everton,West Bromwich Albion,0,1,1.82912,1.1974,1.8246,0.8835,0.848,True,West Brom,West Bromwich Albion,True,
559,26.12.2015,Swansea,West Brom,1,0,H,2015-12-26,Swansea,West Bromwich Albion,1,0,1.21243,0.554583,2.1517,0.5587,0.848,True,West Brom,West Bromwich Albion,True,
180,26.12.2014,West Brom,Man City,1,3,A,2014-12-26,West Bromwich Albion,Manchester City,1,3,2.64442,2.10224,1.7505,1.0152,0.771,True,Man City,Manchester City,True,
1826,30.03.2019,Burnley,Wolves,2,0,H,2019-03-30,Burnley,Wolverhampton Wanderers,2,0,0.572695,0.397928,1.4914999999999998,1.0499,0.766,True,Wolves,Wolverhampton Wanderers,True,
2023,23.11.2019,Bournemouth,Wolves,1,2,A,2019-11-23,Bournemouth,Wolverhampton Wanderers,1,2,0.849789,1.2765,0.9449,1.7279,0.766,True,Wolves,Wolverhampton Wanderers,True,
342,02.05.2015,Liverpool,QPR,2,1,H,2015-05-02,Liverpool,Queens Park Rangers,2,1,2.28745,0.386314,2.7097,0.1852,0.709,True,QPR,Queens Park Rangers,True,
254,21.02.2015,Hull,QPR,2,1,H,2015-02-21,Hull,Queens Park Rangers,2,1,1.09259,0.190631,2.213,0.4784,0.709,True,QPR,Queens Park Rangers,True,
57,27.09.2014,Southampton,QPR,2,1,H,2014-09-27,Southampton,Queens Park Rangers,2,1,2.34463,0.456323,2.6530000000000005,0.2299,0.709,True,QPR,Queens Park Rangers,True,
226,31.01.2015,Stoke,QPR,3,1,H,2015-01-31,Stoke,Queens Park Rangers,3,1,0.782569,1.11577,0.9921,1.6808999999999998,0.709,True,QPR,Queens Park Rangers,True,
