Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,Index,Home_xG,Away_xG,Home_xpts,Away_xpts,Notes,Understat_Date_Found,Understat_Teams_Found
01.01.2015,QPR,Swansea,1,1,D,196,,,,,,,
01.01.2015,Southampton,Arsenal,2,0,H,197,,,,,,,
01.03.2016,Sunderland,Crystal Palace,2,2,D,653,,,,,,,
01.10.2016,West Ham,Middlesbrough,1,1,D,826,,,,,,,
01.11.2014,Leicester,West Brom,0,1,A,95,,,,,,,
01.12.2018,Crystal Palace,Burnley,2,0,H,1652,,,,,,,
02.01.2016,Arsenal,Newcastle,1,0,H,571,,,,,,,
02.01.2016,West Brom,Stoke,2,1,H,577,,,,,,,
02.02.2016,Leicester,Liverpool,2,0,H,613,,,,,,,
02.03.2016,Stoke,Newcastle,1,0,H,657,,,,,,,
02.03.2019,Bournemouth,Man City,0,1,A,1800,,,,,,,
02.04.2016,Stoke,Swansea,2,2,D,689,,,,,,,
02.05.2015,Liverpool,QPR,2,1,H,342,,,,,,,
03.04.2019,Man City,Cardiff,2,0,H,1838,,,,,,,
04.03.2015,Man City,Leicester,2,0,H,273,,,,,,,
04.03.2015,Newcastle,Man United,0,1,A,274,,,,,,,
04.04.2015,Swansea,Hull,3,1,H,305,,,,,,,
04.04.2017,Leicester,Sunderland,2,0,H,1055,,,,,,,
04.10.2014,Leicester,Burnley,2,2,D,63,,,,,,,
04.11.2017,Southampton,Burnley,0,1,A,1243,,,,,,,
04.11.2017,Swansea,Brighton,0,1,A,1245,,,,,,,
04.12.2018,West Ham,Cardiff,3,1,H,1664,,,,,,,
04.12.2019,Leicester,Watford,2,0,H,2044,,,,,,,
04.12.2019,Man United,Tottenham,2,1,H,2045,,,,,,,
04.12.2019,Southampton,Norwich,2,1,H,2046,,,,,,,
05.03.2016,Chelsea,Stoke,1,1,D,659,,,,,,,
05.05.2018,Bournemouth,Swansea,1,0,H,1496,,,,,,,
05.11.2016,Man City,Middlesbrough,1,1,D,864,,,,,,,
05.12.2015,West Brom,Tottenham,1,1,D,528,,,,,,,
05.12.2018,Everton,Newcastle,1,1,D,1666,,,,,,,
06.02.2016,Tottenham,Watford,1,0,H,628,,,,,,,
06.05.2017,Bournemouth,Stoke,2,2,D,1106,,,,,,,
06.12.2014,Liverpool,Sunderland,0,0,D,142,,,,,,,
06.12.2014,Tottenham,Crystal Palace,0,0,D,147,,,,,,,
07.02.2015,Leicester,Crystal Palace,0,1,A,233,,,,,,,
07.02.2015,Man City,Hull,1,1,D,234,,,,,,,
07.03.2020,Arsenal,West Ham,1,0,H,2180,,,,,,,
07.03.2020,Crystal Palace,Watford,1,0,H,2181,,,,,,,
07.04.2018,Brighton,Huddersfield,1,1,D,1456,,,,,,,
07.04.2018,Leicester,Newcastle,1,2,A,1458,,,,,,,
07.04.2018,Watford,Burnley,1,2,A,1461,,,,,,,
08.11.2014,Burnley,Hull,1,0,H,101,,,,,,,
08.12.2018,Arsenal,Huddersfield,1,0,H,1671,,,,,,,
08.12.2018,Burnley,Brighton,1,0,H,1673,,,,,,,
09.02.2019,Southampton,Cardiff,1,2,A,1777,,,,,,,
09.04.2016,Swansea,Chelsea,1,0,H,698,,,,,,,
09.12.2017,Burnley,Watford,1,0,H,1291,,,,,,,
10.01.2015,Everton,Man City,1,1,D,204,,,,,,,
10.01.2015,West Brom,Hull,1,0,H,208,,,,,,,
10.11.2018,Southampton,Watford,1,1,D,1636,,,,,,,
11.08.2018,Bournemouth,Cardiff,2,0,H,1522,,,,,,,
11.12.2016,Southampton,Middlesbrough,1,0,H,910,,,,,,,
12.01.2019,Crystal Palace,Watford,1,2,A,1735,,,,,,,
12.05.2019,Brighton,Man City,1,4,A,1891,,,,,,,
12.08.2017,Everton,Stoke,1,0,H,1145,,,,,,,
13.02.2016,Everton,West Brom,0,1,A,634,,,,,,,
13.04.2019,Burnley,Cardiff,2,0,H,1848,,,,,,,
13.05.2018,Southampton,Man City,0,1,A,1517,,,,,,,
13.05.2018,Swansea,Stoke,1,2,A,1518,,,,,,,
13.08.2016,Burnley,Swansea,0,1,A,761,,,,,,,
13.08.2016,Middlesbrough,Stoke,1,1,D,766,,,,,,,
13.08.2016,Southampton,Watford,1,1,D,767,,,,,,,
13.12.2014,Burnley,Southampton,1,0,H,152,,,,,,,
13.12.2014,Crystal Palace,Stoke,1,1,D,154,,,,,,,
13.12.2017,West Ham,Arsenal,0,0,D,1310,,,,,,,
15.03.2015,Everton,Newcastle,3,0,H,287,,,,,,,
15.04.2017,Everton,Burnley,3,1,H,1075,,,,,,,
15.04.2017,Sunderland,West Ham,2,2,D,1078,,,,,,,
15.05.2016,Swansea,Man City,1,1,D,757,,,,,,,
15.05.2016,West Brom,Liverpool,1,1,D,759,,,,,,,
15.10.2016,West Brom,Tottenham,1,1,D,837,,,,,,,
15.12.2018,Tottenham,Burnley,1,0,H,1685,,,,,,,
16.01.2016,Bournemouth,Norwich,3,0,H,592,,,,,,,
16.05.2015,Burnley,Stoke,0,0,D,360,,,,,,,
16.08.2014,QPR,Hull,0,1,A,4,,,,,,,
16.08.2014,West Brom,Sunderland,2,2,D,6,,,,,,,
16.08.2014,West Ham,Tottenham,0,1,A,7,,,,,,,
16.09.2017,Liverpool,Burnley,1,1,D,1184,,,,,,,
16.12.2017,Arsenal,Newcastle,1,0,H,1311,,,,,,,
17.01.2015,QPR,Man United,0,2,A,215,,,,,,,
17.08.2019,Southampton,Liverpool,1,2,A,1916,,,,,,,
17.12.2016,West Ham,Hull,1,0,H,926,,,,,,,
18.01.2020,Arsenal,Sheffield United,1,1,D,2121,,,,,,,
18.01.2020,West Ham,Everton,1,1,D,2126,,,,,,,
18.12.2016,Tottenham,Burnley,2,1,H,929,,,,,,,
19.01.2019,Man United,Brighton,2,1,H,1744,,,,,,,
19.03.2016,West Brom,Norwich,0,1,A,679,,,,,,,
19.10.2019,Aston Villa,Brighton,2,1,H,1982,,,,,,,
19.10.2019,Tottenham,Watford,1,1,D,1986,,,,,,,
19.12.2015,Man United,Norwich,1,2,A,543,,,,,,,
19.12.2015,Stoke,Crystal Palace,1,2,A,546,,,,,,,
20.01.2018,Everton,West Brom,1,1,D,1374,,,,,,,
20.01.2018,Stoke,Huddersfield,2,0,H,1377,,,,,,,
20.08.2016,Watford,Chelsea,1,2,A,777,,,,,,,
20.10.2018,Newcastle,Brighton,0,1,A,1606,,,,,,,
21.02.2015,Aston Villa,Stoke,1,2,A,251,,,,,,,
21.02.2015,Hull,QPR,2,1,H,254,,,,,,,
21.03.2015,Newcastle,Arsenal,1,2,A,292,,,,,,,
21.10.2017,Swansea,Leicester,1,2,A,1228,,,,,,,
21.12.2019,Brighton,Sheffield United,0,1,A,2074,,,,,,,
22.04.2017,Hull,Watford,2,0,H,1085,,,,,,,
22.08.2015,Norwich,Stoke,1,1,D,404,,,,,,,
22.08.2015,Sunderland,Swansea,1,1,D,405,,,,,,,
22.10.2016,Arsenal,Middlesbrough,0,0,D,841,,,,,,,
22.11.2014,Man City,Swansea,2,1,H,115,,,,,,,
23.02.2020,Man United,Watford,3,0,H,2167,,,,,,,
23.11.2019,Bournemouth,Wolves,1,2,A,2023,,,,,,,
23.11.2019,Everton,Norwich,0,2,A,2026,,,,,,,
23.12.2017,Southampton,Huddersfield,1,1,D,1327,,,,,,,
24.02.2018,Brighton,Swansea,4,1,H,1412,,,,,,,
24.05.2015,Aston Villa,Burnley,0,1,A,372,,,,,,,
24.05.2015,Newcastle,West Ham,2,0,H,379,,,,,,,
24.08.2019,Man United,Crystal Palace,1,2,A,1924,,,,,,,
25.04.2015,West Brom,Liverpool,0,0,D,335,,,,,,,
26.04.2017,Middlesbrough,Sunderland,1,0,H,1093,,,,,,,
26.07.2020,Crystal Palace,Tottenham,1,1,D,2274,,,,,,,
26.07.2020,Newcastle,Liverpool,1,3,A,2278,,,,,,,
26.08.2017,Watford,Brighton,0,0,D,1166,,,,,,,
26.12.2014,Burnley,Liverpool,0,1,A,172,,,,,,,
26.12.2014,Sunderland,Hull,1,3,A,178,,,,,,,
26.12.2014,West Brom,Man City,1,3,A,180,,,,,,,
26.12.2015,Swansea,West Brom,1,0,H,559,,,,,,,
26.12.2016,Burnley,Middlesbrough,1,0,H,932,,,,,,,
26.12.2019,Everton,Burnley,1,0,H,2085,,,,,,,
26.12.2019,Sheffield United,Watford,1,1,D,2086,,,,,,,
27.08.2016,Southampton,Sunderland,1,1,D,786,,,,,,,
27.09.2014,Southampton,QPR,2,1,H,57,,,,,,,
28.02.2015,Stoke,Hull,1,0,H,264,,,,,,,
28.02.2015,West Brom,Southampton,1,0,H,265,,,,,,,
28.09.2019,Aston Villa,Burnley,2,2,D,1962,,,,,,,
28.09.2019,Chelsea,Brighton,2,0,H,1964,,,,,,,
28.09.2019,Wolves,Watford,2,0,H,1967,,,,,,,
28.12.2014,QPR,Crystal Palace,0,0,D,185,,,,,,,
29.04.2017,Southampton,Hull,0,0,D,1096,,,,,,,
29.04.2017,West Brom,Leicester,0,1,A,1099,,,,,,,
29.09.2018,Arsenal,Watford,2,0,H,1581,,,,,,,
29.09.2018,Huddersfield,Tottenham,0,2,A,1584,,,,,,,
29.09.2018,Man City,Brighton,2,0,H,1585,,,,,,,
29.11.2014,Swansea,Crystal Palace,1,1,D,126,,,,,,,
29.11.2014,West Ham,Newcastle,1,0,H,128,,,,,,,
29.12.2018,Fulham,Huddersfield,1,0,H,1712,,,,,,,
30.03.2019,Burnley,Wolves,2,0,H,1826,,,,,,,
30.03.2019,Crystal Palace,Huddersfield,2,0,H,1827,,,,,,,
30.12.2017,Liverpool,Leicester,2,1,H,1344,,,,,,,
30.12.2017,Newcastle,Brighton,0,0,D,1346,,,,,,,
31.01.2015,Stoke,QPR,3,1,H,226,,,,,,,
31.01.2015,Sunderland,Burnley,2,0,H,227,,,,,,,
31.01.2018,Southampton,Brighton,1,1,D,1388,,,,,,,
31.10.2015,Crystal Palace,Man United,0,0,D,482,,,,,,,
